NODE_ID;PROMINENCY_LABEL;PROMINENCY_WEIGHT;PROMINENCY_PURITY;RECIPROCITY_LABEL;RECIPROCITY_WEIGHT;RECIPROCITY_PURITY
77;NonProminent;0;0;NonReciprocal;0;0
78;StronglyProminent;0,0957446808510638;0,00101856043458579;NonReciprocal;0;0
79;NonProminent;0;0;NonReciprocal;0;0
80;NonProminent;0;0;NonReciprocal;0;0
81;StronglyProminent;0,0975609756097561;0,00237953599048186;NonReciprocal;0;0
82;StronglyProminent;0,105263157894737;0,00277008310249307;NonReciprocal;0;0
83;StronglyProminent;0,156862745098039;0,00153787004998078;NonReciprocal;0;0
84;StronglyProminent;0,0106382978723404;0,000113173381620643;NonReciprocal;0;0
85;StronglyProminent;0,0263157894736842;0,000692520775623269;NonReciprocal;0;0
86;StronglyProminent;0,0117647058823529;0,00013840830449827;NonReciprocal;0;0
87;StronglyProminent;0,02;0,0004;NonReciprocal;0;0
88;StronglyProminent;0,0294117647058824;0,000865051903114187;NonReciprocal;0;0
89;StronglyProminent;0,0131578947368421;0,000173130193905817;NonReciprocal;0;0
90;StronglyProminent;0,0454545454545455;0,000516528925619835;NonReciprocal;0;0
91;StronglyProminent;0,0769230769230769;0,0014792899408284;NonReciprocal;0;0
92;StronglyProminent;0,0849056603773585;0,000800996796012816;NonReciprocal;0;0
93;NonProminent;0;0;NonReciprocal;0;0
94;NonProminent;0;0;NonReciprocal;0;0
95;NonProminent;0;0;NonReciprocal;0;0
96;NonProminent;0;0;NonReciprocal;0;0
97;NonProminent;0;0;NonReciprocal;0;0
98;StronglyProminent;0,00934579439252336;8,73438728273212E-05;NonReciprocal;0;0
99;StronglyProminent;0,0175438596491228;0,000307787011388119;NonReciprocal;0;0
100;NonProminent;0;0;NonReciprocal;0;0
101;NonProminent;0;0;NonReciprocal;0;0
102;StronglyProminent;0,0909090909090909;0,000918273645546373;NonReciprocal;0;0
103;StronglyProminent;0,0111111111111111;0,000123456790123457;NonReciprocal;0;0
104;NonProminent;0;0;NonReciprocal;0;0
105;NonProminent;0;0;NonReciprocal;0;0
106;NonProminent;0;0;NonReciprocal;0;0
107;NonProminent;0;0;NonReciprocal;0;0
108;StronglyProminent;0,0975609756097561;0,00237953599048186;NonReciprocal;0;0
109;NonProminent;0;0;NonReciprocal;0;0
110;WeaklyProminent;0,166666666666667;0,0277777777777778;NonReciprocal;0;0
111;WeaklyProminent;0,380952380952381;0,0423280423280423;NonReciprocal;0;0
112;StronglyProminent;0,0434782608695652;0,000472589792060492;NonReciprocal;0;0
113;NonProminent;0;0;NonReciprocal;0;0
114;NonProminent;0;0;NonReciprocal;0;0
115;StronglyProminent;0,0188679245283019;0,000355998576005696;NonReciprocal;0;0
116;NonProminent;0;0;NonReciprocal;0;0
117;NonProminent;0;0;NonReciprocal;0;0
118;NonProminent;0;0;NonReciprocal;0;0
119;NonProminent;0;0;NonReciprocal;0;0
120;NonProminent;0;0;NonReciprocal;0;0
121;NonProminent;0;0;NonReciprocal;0;0
122;StronglyProminent;1,11363636363636;0,0253099173553719;NonReciprocal;0;0
123;NonProminent;0;0;NonReciprocal;0;0
124;NonProminent;0;0;NonReciprocal;0;0
125;WeaklyProminent;0,0148148148148148;0,000322061191626409;NonReciprocal;0;0
126;NonProminent;0;0;NonReciprocal;0;0
127;NonProminent;0;0;NonReciprocal;0;0
128;NonProminent;0;0;NonReciprocal;0;0
129;NonProminent;0;0;NonReciprocal;0;0
130;NonProminent;0;0;NonReciprocal;0;0
131;WeaklyProminent;0,0246913580246914;0,000881834215167548;NonReciprocal;0;0
132;NonProminent;0;0;NonReciprocal;0;0
133;NonProminent;0;0;NonReciprocal;0;0
134;StronglyProminent;0,04;0,0016;NonReciprocal;0;0
135;NonProminent;0;0;NonReciprocal;0;0
136;NonProminent;0;0;NonReciprocal;0;0
137;StronglyProminent;0,0476190476190476;0,00226757369614512;NonReciprocal;0;0
138;NonProminent;0;0;NonReciprocal;0;0
139;WeaklyProminent;0,0533333333333333;0,00087431693989071;NonReciprocal;0;0
140;NonProminent;0;0;NonReciprocal;0;0
141;StronglyProminent;0,0285714285714286;0,000816326530612245;NonReciprocal;0;0
142;NonProminent;0;0;NonReciprocal;0;0
143;NonProminent;0;0;NonReciprocal;0;0
144;NonProminent;0;0;NonReciprocal;0;0
145;NonProminent;0;0;NonReciprocal;0;0
146;WeaklyProminent;0,0416666666666667;0,00245098039215686;NonReciprocal;0;0
147;NonProminent;0;0;NonReciprocal;0;0
148;StronglyProminent;0,307692307692308;0,00591715976331361;NonReciprocal;0;0
149;NonProminent;0;0;NonReciprocal;0;0
150;NonProminent;0;0;NonReciprocal;0;0
151;StronglyProminent;0,0125;0,00015625;NonReciprocal;0;0
152;NonProminent;0;0;NonReciprocal;0;0
153;NonProminent;0;0;NonReciprocal;0;0
154;NonProminent;0;0;NonReciprocal;0;0
155;NonProminent;0;0;NonReciprocal;0;0
156;StronglyProminent;0,025;0,000625;NonReciprocal;0;0
157;NonProminent;0;0;NonReciprocal;0;0
158;StronglyProminent;0,0816326530612245;0,00166597251145356;NonReciprocal;0;0
159;WeaklyProminent;0,0175438596491228;0,000449842555105713;NonReciprocal;0;0
160;NonProminent;0;0;NonReciprocal;0;0
161;NonProminent;0;0;NonReciprocal;0;0
162;StronglyProminent;0,0277777777777778;0,000771604938271605;NonReciprocal;0;0
163;NonProminent;0;0;NonReciprocal;0;0
164;WeaklyProminent;0,145454545454545;0,00855614973262032;NonReciprocal;0;0
165;NonProminent;0;0;NonReciprocal;0;0
166;NonProminent;0;0;NonReciprocal;0;0
167;NonProminent;0;0;NonReciprocal;0;0
168;WeaklyProminent;0,213333333333333;0,0133333333333333;NonReciprocal;0;0
169;NonProminent;0;0;NonReciprocal;0;0
170;NonProminent;0;0;NonReciprocal;0;0
171;NonProminent;0;0;NonReciprocal;0;0
172;StronglyProminent;0,0151515151515152;0,000229568411386593;NonReciprocal;0;0
173;NonProminent;0;0;NonReciprocal;0;0
174;NonProminent;0;0;NonReciprocal;0;0
175;WeaklyProminent;0,0158730158730159;0,000369139904023625;NonReciprocal;0;0
176;NonProminent;0;0;NonReciprocal;0;0
177;NonProminent;0;0;NonReciprocal;0;0
178;NonProminent;0;0;NonReciprocal;0;0
179;NonProminent;0;0;NonReciprocal;0;0
180;WeaklyProminent;0,0363636363636364;0,0025974025974026;NonReciprocal;0;0
181;NonProminent;0;0;NonReciprocal;0;0
182;StronglyProminent;0,0196078431372549;0,000384467512495194;NonReciprocal;0;0
183;NonProminent;0;0;NonReciprocal;0;0
184;NonProminent;0;0;NonReciprocal;0;0
185;WeaklyProminent;0,0476190476190476;0,00432900432900433;NonReciprocal;0;0
186;NonProminent;0;0;NonReciprocal;0;0
187;NonProminent;0;0;NonReciprocal;0;0
188;WeaklyProminent;0,0158730158730159;0,000369139904023625;NonReciprocal;0;0
